Date;Open;High;Low;Close;Volume
2024.06.03 02:50;2326.07;2326.08;2325.55;2325.79;100
2024.06.03 02:55;2325.79;2326.25;2325.67;2325.92;121
2024.06.03 03:00;2325.93;2326.28;2325.36;2326.25;242
2024.06.03 03:05;2326.26;2326.36;2324.68;2324.85;235
2024.06.03 03:10;2324.84;2325.73;2324.3;2325.51;225
2024.06.03 03:15;2325.53;2325.8;2325.12;2325.8;184
2024.06.03 03:20;2325.84;2326.11;2325.32;2325.94;213
2024.06.03 03:25;2325.92;2325.92;2325.09;2325.31;202
2024.06.03 03:30;2325.33;2325.44;2324.72;2324.93;170
2024.06.03 03:35;2324.98;2325.24;2324.15;2324.22;229
2024.06.03 03:40;2324.2;2325.69;2324.05;2325.69;223
2024.06.03 03:45;2325.7;2327.1;2325.52;2327.1;246
2024.06.03 03:50;2327.06;2327.29;2326.33;2327.26;264
